sample,time_s,pitch_deg,roll_deg,density_system,density_lab,density_error,total_indicated_volume_gal,total_true_volume_gal,total_indicated_weight_lb,total_true_weight_lb,total_weight_error_lb,probe_height_T1,indicated_volume_gal_T1,indicated_weight_lb_T1,true_volume_gal_T1,true_weight_lb_T1,volume_error_in3_T1,fuel_wl_T1,probe_height_T2,indicated_volume_gal_T2,indicated_weight_lb_T2,true_volume_gal_T2,true_weight_lb_T2,volume_error_in3_T2,fuel_wl_T2,probe_height_T3,indicated_volume_gal_T3,indicated_weight_lb_T3,true_volume_gal_T3,true_weight_lb_T3,volume_error_in3_T3,fuel_wl_T3,probe_height_T4,indicated_volume_gal_T4,indicated_weight_lb_T4,true_volume_gal_T4,true_weight_lb_T4,volume_error_in3_T4,fuel_wl_T4,probe_height_T5,indicated_volume_gal_T5,indicated_weight_lb_T5,true_volume_gal_T5,true_weight_lb_T5,volume_error_in3_T5,fuel_wl_T5,phase,active_tanks,scale_gross_weight_lb,dry_weight_lb
0,0.0,-0.1,0.3,6.730481049999998,6.71,0.020481049999998113,11.246182995556628,10.883116883116786,75.6922215364261,73.02571428571363,2.6665072507124705,0.006094341595088627,0.9927801598129162,6.681888052436802,0.9350649350649152,6.274285714285581,13.33221691678824,88.24,0.015527022360281773,2.72669512357411,18.35196985834295,2.337662337662304,15.685714285714058,89.86657354562726,85.27,0.037670287325496404,3.3624196329613025,22.630701621793996,3.2727272727272743,21.96000000000001,20.718935214060593,80.378,0.0025568080633457074,2.6775465392971527,18.02117624323256,2.337662337662304,15.685714285714058,78.51325057765007,85.27,0.23367077051952154,1.4867415399111465,10.006485760619787,1.9999999999999893,13.419999999999929,-118.56270428052272,83.33,1,[3],12073.025714285714,12000.0
1,1.0,-0.10685573302935766,0.34968248018313747,6.730775158226297,6.71,0.020775158226297386,11.683472834530342,11.558441558441487,78.63882871646861,77.55714285714238,1.0816858593262282,0.017587959497256573,1.1633710626640577,7.830389048378568,0.9350649350649154,6.274285714285583,52.738715475401875,88.24,0.0013662275452488227,2.7093171471334325,18.23580454968225,2.337662337662304,15.685714285714058,85.85226098783073,85.27,0.16382439024680256,3.8663499281486575,26.023532049393015,3.948051948051975,26.491428571428752,-18.87316659766634,80.456,0.007375015681649977,2.284118358094162,15.373887103108824,2.337662337662304,15.685714285714058,-12.36865928024065,85.27,0.2449947469729731,1.6603163384900326,11.175215965905956,1.9999999999999896,13.41999999999993,-78.46692580880011,83.33,1,[3],,12000.0
2,2.0,-0.08052867047327912,0.3428703699278534,6.731069220009499,6.71,0.02106922000949929,12.282966115073542,12.233766233766188,82.67749514759117,82.08857142857111,0.5889237190200589,0.0,0.9524980502137104,6.411330307912568,0.9350649350649152,6.274285714285581,4.027049599371708,88.24,0.025294226035753507,2.933568500420959,19.74605263797294,2.3376623376623034,15.685714285714056,137.65432359724946,85.27,0.22393737148247178,4.339085258939477,29.20668322944446,4.623376623376677,31.0228571428575,-65.67130518499312,80.534,0.010646183711066974,2.2866266762972427,15.391442438476995,2.3376623376623034,15.685714285714056,-11.789237775328957,85.27,0.26095262702033817,1.771187629202153,11.92198653378421,1.9999999999999893,13.419999999999929,-52.85565765430022,83.33,1,[3],,12000.0
3,3.0,-0.07634389538589406,0.3841748263987566,6.731363188913839,6.71,0.02136318891383926,13.013404530790629,12.909090909090889,87.59795222100861,86.61999999999986,0.9779522210087492,0.04283295201740923,1.2673645988207412,8.531091407434493,0.9350649350649151,6.27428571428558,76.76122232759585,88.24,0.0,2.4170112739871437,16.2697807169068,2.3376623376623034,15.685714285714056,18.329604291038095,85.27,0.3226432844240521,5.191444906141805,34.945501138477205,5.298701298701378,35.554285714286245,-24.776226681261278,80.61200000000001,0.0,2.4826186839763786,16.711408021428316,2.337662337662303,15.685714285714052,33.484915998551514,85.27,0.24022545370993492,1.6549650678645615,11.140170936761804,1.9999999999999896,13.41999999999993,-79.7030693232839,83.33,1,[3],,12000.0
4,4.0,-0.057675838439237986,0.32855076306175596,6.731657018518218,6.71,0.02165701851821833,13.559801117587389,13.58441558441559,91.27993036291832,91.15142857142861,0.12850179148971108,0.014865083424068845,1.122645217043286,7.5572625546153445,0.9350649350649152,6.274285714285581,43.33104513700363,88.24,0.0,2.355689399335243,15.857693078484054,2.3376623376623034,15.685714285714056,4.164251246449112,85.27,0.37525621699721506,6.070526724022351,40.864703827867466,5.974025974026078,40.08571428571498,22.291673249139194,80.69000000000001,0.0023337161828145647,2.3595505388815257,15.883684945610266,2.3376623376623034,15.685714285714056,5.056174481640369,85.27,0.2920637264796513,1.6513892383049842,11.1165859563412,1.9999999999999893,13.419999999999929,-80.52908595154622,83.33,1,[3],,12000.0
5,5.0,-0.046057004229700584,0.3212062433677517,6.731950662423536,6.71,0.021950662423535938,14.19509358401243,14.259740259740292,95.56066965605656,95.68285714285736,-0.12218748680079727,0.013578271261437899,0.9100485574008896,6.1264019888325025,0.9350649350649152,6.274285714285581,-5.778783240389885,88.24,0.005982058545307393,2.6172307087089366,17.619068003208348,2.337662337662304,15.685714285714058,64.58029371177224,85.27,0.437455342288937,6.591883247265348,44.37623279304657,6.6493506493507795,44.61714285714373,-13.274969881734705,80.76800000000001,0.0,2.5088419636363377,16.889400319017607,2.337662337662304,15.685714285714058,39.542493600001876,85.27,0.2802855952450224,1.567089107000917,10.54956655195153,1.9999999999999893,13.419999999999929,-100.00241628278576,83.33,1,[3],,12000.0
6,6.0,-0.05882570711482319,0.35659127057388323,6.732244074260014,6.71,0.022244074260013846,15.163758023440431,14.935064935064991,102.08612009681958,100.21428571428609,1.8718343825334927,0.0,0.9810929250484703,6.604957030955989,0.9350649350649152,6.274285714285581,10.632465686201243,88.24,0.0,2.6476394343080303,17.824554892397373,2.337662337662304,15.685714285714058,71.60470932516284,85.27,0.5476991182737421,7.39030614579222,49.753344756977036,7.324675324675479,49.14857142857247,15.160719677967109,80.84600000000002,0.0142245315958571,2.47450576143082,16.6589767491149,2.337662337662304,15.685714285714058,31.610830890527268,85.27,0.2665568536452873,1.6702137568608912,11.24428666737429,1.9999999999999893,13.419999999999929,-76.1806221651317,83.33,1,[3],,12000.0
7,7.0,-0.047898405635469085,0.37531027834186276,6.732537207694525,6.71,0.022537207694525385,15.555064069330019,15.61038961038969,104.72504761483657,104.74571428571483,-0.020666670878256355,0.01715951762514308,1.0300463557851052,6.934825415973374,0.9350649350649152,6.274285714285581,21.940708186363906,88.24,0.0,2.3190237432291774,15.612913636817472,2.3376623376623034,15.685714285714056,-4.305515314052059,85.27,0.6039733308392767,7.6895478627487766,51.77016709630405,8.00000000000018,53.6800000000012,-71.71444370507425,80.92400000000002,0.002848514721411305,2.608666081090121,17.562941453389904,2.3376623376623034,15.685714285714056,62.60186473182591,85.27,0.27547576769838555,1.907780026476839,12.844200012351765,1.9999999999999896,13.41999999999993,-21.30281388384782,83.33,1,[3],,12000.0
8,8.0,-0.054251330602430724,0.41858782856192256,6.732830016437899,6.71,0.022830016437898948,15.921448425354559,16.28571428571439,107.19640586339509,109.27714285714356,-2.0807369937484737,0.012511807879346734,1.0182458545718909,6.855676253775086,0.9350649350649152,6.274285714285581,19.21479240611137,88.24,0.009450900262795861,2.3691561762842803,15.95112581731604,2.3376623376623034,15.685714285714056,7.275076721676669,85.27,0.6929124566191819,8.328526926948202,56.07455608646814,8.67532467532488,58.21142857142995,-80.1102798750128,81.00200000000002,0.0,2.477852309025616,16.682958402507627,2.3376623376623034,15.685714285714056,32.3838833849253,85.27,0.268534398789506,1.72766715852457,11.632089303328199,1.9999999999999893,13.419999999999929,-62.90888638082191,83.33,1,[3],,12000.0
9,9.0,-0.06065659961958562,0.40430698879423577,6.733122454252243,6.71,0.023122454252242797,17.06361301074445,16.961038961039094,114.89139591331418,113.80857142857232,1.082824484741863,0.009614933178118179,1.0787703993288114,7.263493198703478,0.9350649350649152,6.274285714285581,33.19596224496004,88.24,0.01376702883683523,2.534476118632454,17.064938064130246,2.3376623376623034,15.685714285714056,45.46398340410474,85.27,0.7697698824418291,9.36759126473092,63.07313908681693,9.350649350649583,62.7428571428587,3.9135821527888766,81.08000000000003,0.0,2.2419781895710815,15.095513690144841,2.3376623376623034,15.685714285714056,-22.103038209072224,85.27,0.2453198302970599,1.840797038481182,12.394311873518676,1.9999999999999893,13.419999999999929,-36.775884110844515,83.33,1,[3],,12000.0
